date,population,admission,release
12/6/2020,121190.2728,1735.22341,1077.360199
12/7/2020,121765.636,1651.738562,2844.307169
12/8/2020,121107.9961,2186.66735,2641.85008
12/9/2020,120689.3657,2223.219589,2596.571648
12/10/2020,120347.141,2254.84704,2686.071648
12/11/2020,120032.9164,2371.84704,2479.849426
12/12/2020,119832.5252,2280.124817,1192.71014
12/13/2020,120365.0636,1726.048627,1037.63514
12/14/2020,120789.7271,1461.63196,2832.093474
12/15/2020,120037.4323,2083.798627,2792.593474
12/16/2020,119430.1374,2186.798627,3417.881517
12/17/2020,118081.0445,2033.690681,2839.674395
12/18/2020,117553.7118,2300.495856,2798.122863
12/19/2020,117183.1889,2428.537418,1162.093697
12/20/2020,117858.9659,1837.870752,1113.204808
12/21/2020,118459.743,1713.231863,2982.246016
12/22/2020,117702.7993,2238.177376,2755.141259
12/23/2020,117123.8354,2176.177376,2563.798835
12/24/2020,116479.6049,1919.568285,1666.098835
12/25/2020,116215.8743,1405.068285,806.0766129
12/26/2020,116599.6438,1189.846063,940.0766129
12/27/2020,117131.4132,1471.846063,821.5766129
12/28/2020,117860.1827,1547.393607,2427.833072
12/29/2020,117532.4284,2088.590103,1282.872118
12/30/2020,117754.6872,1594.872169,1259.613295
12/31/2020,118093.9461,1598.872169,1260.613295
1/1/2021,118429.705,1596.372169,1260.613295
1/2/2021,118765.4639,1596.372169,1260.613295
1/3/2021,119362.2227,1611.245539,377.7382494
1/4/2021,119641.2002,657.2156892,3543.66631
1/5/2021,118810.8224,2860.165438,2551.346766
1/6/2021,118523.5587,2263.584028,2626.148714
1/7/2021,118783.3862,2885.476246,2912.759825
1/8/2021,118515.2138,2644.587357,2787.076492
1/9/2021,118526.6246,2801.104024,1235.273966
1/10/2021,119173.8133,1882.46261,1037.808449
1/11/2021,119858.4674,1722.46261,2818.163219
1/12/2021,119498.2968,2476.971184,2758.975116
1/13/2021,119388.1596,2648.337851,2788.594264
1/14/2021,119278.141,2677.892128,2745.712629
1/15/2021,119163.1654,2632.232062,2714.315521
1/16/2021,119497.6898,3047.839906,1281.70441
1/17/2021,120363.7142,2147.728794,1151.496077
1/18/2021,120951.4136,1739.195461,1246.32941
1/19/2021,121427.613,1722.528794,3181.686553
1/20/2021,120935.235,2689.308556,3229.662744
1/21/2021,120316.1946,2611.122409,2870.725244
1/22/2021,119861.2419,2645.559909,2612.179288
1/23/2021,119904.7892,2655.726576,1201.019288
1/24/2021,120705.9165,2002.646576,1173.852621
